open,high,low,close,volume,timestamp
56450.19000000,56930.98000000,56171.31000000,56905.68000000,2786.08700200,1619931599999
56905.68000000,57129.00000000,56612.29000000,56902.07000000,1189.17985100,1619935199999
56902.07000000,57034.19000000,56686.00000000,56879.99000000,785.47169400,1619938799999
56881.33000000,56988.00000000,56404.31000000,56633.02000000,1376.83482100,1619942399999
56633.03000000,56766.63000000,56156.00000000,56525.23000000,1700.11311400,1619945999999
56525.23000000,56650.00000000,56035.25000000,56450.00000000,2403.85841100,1619949599999
56450.00000000,57000.00000000,56385.16000000,56831.67000000,1903.11951600,1619953199999
56831.67000000,57090.00000000,56543.25000000,57090.00000000,1173.26895200,1619956799999
57090.00000000,57286.96000000,56700.01000000,56839.66000000,1644.71494000,1619960399999
56839.66000000,56903.74000000,56451.01000000,56679.85000000,1194.66056800,1619963999999
56680.84000000,56999.00000000,56660.00000000,56823.52000000,1150.50579000,1619967599999
56823.51000000,56846.92000000,56231.55000000,56595.20000000,1984.99631400,1619971199999
56595.20000000,56777.00000000,56317.59000000,56557.80000000,1409.12692200,1619974799999
56557.81000000,56843.78000000,56468.63000000,56779.99000000,1123.45409800,1619978399999
56780.00000000,56899.99000000,56700.00000000,56840.45000000,1163.85583900,1619981999999
56840.44000000,56968.56000000,56546.47000000,56836.40000000,1320.49510200,1619985599999
56836.39000000,57000.00000000,56666.67000000,56994.00000000,1154.02130900,1619989199999
56994.99000000,57141.05000000,56615.05000000,56649.99000000,1628.93869100,1619992799999
56649.98000000,56745.70000000,56212.00000000,56382.10000000,1696.69206600,1619996399999
56382.10000000,56600.50000000,56309.32000000,56578.21000000,813.49727500,1619999999999
56578.21000000,57600.00000000,56525.00000000,57407.86000000,2646.72904100,1620003599999
57407.85000000,58289.99000000,57359.28000000,58042.82000000,2551.48309300,1620007199999
58042.83000000,58249.99000000,57850.23000000,58060.48000000,1823.36216200,1620010799999
58060.48000000,58240.69000000,57768.67000000,57925.80000000,2374.71673300,1620014399999
57925.79000000,58044.09000000,57696.70000000,57820.64000000,1382.12806400,1620017999999
57820.64000000,58110.00000000,57794.17000000,57938.86000000,2038.54737400,1620021599999
57938.86000000,58049.83000000,57860.02000000,57945.55000000,1706.15744900,1620025199999
57945.55000000,58848.00000000,57814.34000000,58787.87000000,4220.13936800,1620028799999
58787.88000000,58981.44000000,58617.00000000,58764.07000000,2633.32516800,1620032399999
58764.08000000,58804.45000000,58277.12000000,58409.73000000,2782.86138500,1620035999999
58409.91000000,58620.87000000,58344.97000000,58467.42000000,1876.01673700,1620039599999
58467.42000000,58965.19000000,58464.44000000,58657.63000000,2075.95103300,1620043199999
58657.64000000,58770.00000000,58293.49000000,58558.27000000,1868.05306800,1620046799999
58558.26000000,58645.09000000,57260.00000000,57697.33000000,3671.85760700,1620050399999
57696.52000000,58199.00000000,57600.00000000,57777.33000000,2873.98734700,1620053999999
57777.33000000,58020.21000000,57379.57000000,57601.83000000,2821.83567000,1620057599999
57603.33000000,57957.10000000,57169.00000000,57693.73000000,2868.97126900,1620061199999
57693.98000000,58170.00000000,57579.26000000,57958.60000000,2153.65446800,1620064799999
57958.60000000,58084.60000000,57745.90000000,57764.42000000,1840.54776500,1620068399999
57764.42000000,57764.43000000,57326.01000000,57564.87000000,1904.06989300,1620071999999
57564.86000000,57575.05000000,56602.73000000,56783.94000000,3198.86783000,1620075599999
56783.93000000,57163.26000000,56435.00000000,57110.25000000,2158.01867900,1620079199999
57110.24000000,57421.61000000,56723.01000000,57292.88000000,2249.03493000,1620082799999
57292.88000000,57457.12000000,56885.92000000,57169.39000000,1929.61515300,1620086399999
57169.39000000,57200.00000000,54580.00000000,55291.71000000,6665.08464600,1620089999999
55294.47000000,55846.68000000,55100.00000000,55682.71000000,4610.94771900,1620093599999
55682.71000000,56012.49000000,55447.73000000,55695.16000000,3115.89077700,1620097199999
55695.15000000,55959.79000000,55231.27000000,55452.17000000,2585.97508900,1620100799999
55452.16000000,55906.15000000,55122.00000000,55809.45000000,2356.60353200,1620104399999
55809.45000000,56291.37000000,55766.01000000,55988.95000000,2088.24067500,1620107999999
55988.95000000,56169.00000000,55851.25000000,56070.62000000,1916.64965200,1620111599999
56070.62000000,56361.82000000,55853.66000000,55917.97000000,2157.37739500,1620115199999
55917.98000000,56020.00000000,55555.00000000,55739.99000000,2839.97589800,1620118799999
55740.33000000,56399.68000000,55740.33000000,56077.57000000,2579.56632800,1620122399999
56077.58000000,56637.89000000,56075.11000000,56406.72000000,2546.58613600,1620125999999
56406.72000000,56431.65000000,55857.14000000,56143.42000000,2657.30554400,1620129599999
56143.43000000,56321.18000000,55460.16000000,56020.57000000,4864.08012500,1620133199999
56020.56000000,56120.00000000,55200.00000000,55461.35000000,4465.29985500,1620136799999
55461.35000000,55552.85000000,54410.00000000,54825.01000000,8000.28507900,1620140399999
54827.66000000,54971.00000000,53526.00000000,53799.33000000,8228.64433500,1620143999999
53802.54000000,54315.57000000,53201.01000000,53849.23000000,6012.40533500,1620147599999
53849.24000000,54289.75000000,53724.18000000,54166.82000000,3543.76980500,1620151199999
54166.87000000,54745.81000000,53985.34000000,54524.76000000,3163.18120000,1620154799999
54522.62000000,54578.03000000,54209.65000000,54541.13000000,2282.74096000,1620158399999
54539.73000000,54824.00000000,53900.00000000,54727.01000000,2578.11812600,1620161999999
54727.00000000,54809.48000000,54194.90000000,54349.83000000,1753.50066300,1620165599999
54349.84000000,54427.00000000,53533.00000000,54079.61000000,2126.63395600,1620169199999
54079.60000000,54236.63000000,53046.69000000,53200.01000000,2185.76307300,1620172799999
53205.05000000,54886.69000000,52900.00000000,54566.58000000,4712.58397800,1620176399999
54566.53000000,55098.00000000,54404.90000000,54758.72000000,3251.65609900,1620179999999
54758.72000000,55415.83000000,54659.00000000,55050.22000000,2379.52260600,1620183599999
55050.22000000,55242.02000000,54709.00000000,54795.19000000,2784.61518300,1620187199999
54798.87000000,55285.71000000,54428.92000000,54552.15000000,2987.18223600,1620190799999
54552.32000000,54910.27000000,54276.00000000,54693.10000000,2476.50278500,1620194399999
54691.72000000,54731.62000000,53922.84000000,54421.51000000,2467.24044500,1620197999999
54421.51000000,55028.21000000,54302.00000000,54858.35000000,2149.08854500,1620201599999
54858.35000000,55555.00000000,54679.13000000,55425.02000000,3113.62671800,1620205199999
55425.02000000,55492.15000000,55055.51000000,55359.48000000,1803.70769400,1620208799999
55359.48000000,55809.24000000,55066.31000000,55627.54000000,2632.21847900,1620212399999
55627.55000000,55672.55000000,55000.00000000,55108.95000000,2408.18025000,1620215999999
55108.95000000,55775.15000000,55032.65000000,55573.09000000,2904.53170300,1620219599999
55573.10000000,56259.74000000,55535.61000000,56247.17000000,3785.16383900,1620223199999
56247.16000000,57000.00000000,55659.69000000,56982.80000000,5207.65636000,1620226799999
56982.92000000,57712.06000000,56915.41000000,57636.74000000,7439.27005800,1620230399999
57635.89000000,58069.82000000,57227.45000000,57414.77000000,7728.09340900,1620233999999
57414.77000000,57699.98000000,57198.03000000,57281.33000000,2531.55690300,1620237599999
57281.33000000,57500.00000000,57043.00000000,57301.55000000,2211.88348900,1620241199999
57301.56000000,57500.00000000,57043.12000000,57136.04000000,2276.83374800,1620244799999
57136.04000000,57239.85000000,56576.04000000,56841.77000000,3134.39947600,1620248399999
56841.77000000,56977.07000000,56687.35000000,56796.44000000,1464.79011300,1620251999999
56796.44000000,57619.86000000,56715.30000000,57064.55000000,3143.66434700,1620255599999
57064.54000000,57460.67000000,56926.00000000,57436.11000000,2269.95497600,1620259199999
57436.11000000,57570.00000000,56570.66000000,56959.92000000,3698.10248400,1620262799999
56959.93000000,57194.99000000,56576.36000000,56835.86000000,2753.14681400,1620266399999
56835.85000000,57165.60000000,56707.34000000,57033.36000000,1865.08057200,1620269999999
57033.36000000,57033.37000000,56632.65000000,56797.09000000,1641.52150700,1620273599999
56797.09000000,57568.42000000,56708.08000000,56943.39000000,3055.38249000,1620277199999
56943.39000000,57343.60000000,56700.00000000,57167.03000000,1694.65840300,1620280799999
57167.03000000,57167.03000000,56441.19000000,56587.65000000,2614.86444200,1620284399999
56587.66000000,56897.62000000,56331.66000000,56814.79000000,2046.67697000,1620287999999
56814.79000000,57203.81000000,56788.26000000,56898.87000000,2085.93467800,1620291599999
56898.88000000,57325.00000000,56772.75000000,57261.57000000,2143.98825600,1620295199999
57261.57000000,58360.00000000,57150.00000000,57982.10000000,5182.92311900,1620298799999
57982.10000000,58140.00000000,57688.00000000,57988.00000000,3047.82051700,1620302399999
57988.00000000,58099.00000000,57448.94000000,57616.97000000,2902.76529300,1620305999999
57616.98000000,57700.00000000,57051.96000000,57271.31000000,3047.81789100,1620309599999
57271.31000000,57399.99000000,56875.40000000,57153.13000000,2494.08203000,1620313199999
57153.12000000,57350.72000000,56763.00000000,57088.49000000,3647.52328900,1620316799999
57088.48000000,57475.00000000,56574.19000000,56718.03000000,3780.01630200,1620320399999
56718.04000000,57100.00000000,56684.87000000,56777.00000000,2117.15866600,1620323999999
56775.54000000,56970.00000000,55450.00000000,55753.57000000,6441.35275400,1620327599999
55752.54000000,56358.96000000,55200.00000000,56128.42000000,4843.38054100,1620331199999
56128.42000000,56269.00000000,55674.13000000,55913.75000000,3303.11748800,1620334799999
55913.76000000,56452.82000000,55890.86000000,56296.52000000,1939.08151300,1620338399999
